numero;b1;b2;b3;b4;b5;i1;i2;i3;i4;i5;n1;n2;n3;n4;n5;g1;g2;g3;g4;g5;o1;o2;o3;o4;o5;Activo;Nombre;Cedula;Telefono
1;1;7;2;4;14;22;18;21;26;24;38;33;0;41;37;59;56;48;55;57;71;62;75;70;72;-1;No;No;No
2;5;7;13;4;11;19;28;17;30;21;41;32;0;40;39;48;56;46;59;54;66;69;62;61;65;-1;No;No;No
3;12;9;4;15;2;20;24;26;19;28;39;43;0;31;35;59;53;60;56;54;66;70;73;67;63;-1;No;No;No
4;13;3;10;15;12;29;27;30;17;22;44;40;0;43;35;46;54;48;52;49;62;66;73;74;75;-1;No;No;No
5;11;14;12;3;7;30;22;23;29;28;32;43;0;40;45;46;59;53;49;54;64;65;74;71;72;-1;No;No;No
6;7;5;11;15;10;21;24;29;28;19;41;45;0;31;36;53;48;47;57;54;74;72;66;67;65;-1;No;No;No
7;7;15;11;5;9;17;26;30;16;22;35;34;0;40;41;49;55;51;47;60;69;66;65;67;72;-1;No;No;No
8;2;8;6;13;3;29;17;19;25;22;32;31;0;41;36;48;59;52;55;58;63;69;62;75;64;-1;No;No;No
9;8;6;10;11;1;25;29;20;21;16;32;31;0;37;34;47;52;53;58;54;66;69;70;62;72;-1;No;No;No
10;3;2;7;1;14;21;28;24;19;16;44;33;0;45;42;60;59;52;51;53;71;73;75;68;64;-1;No;No;No
11;12;11;8;6;3;29;19;25;30;22;35;39;0;45;44;57;56;50;59;54;61;62;71;75;63;-1;No;No;No
12;1;6;7;3;11;21;22;26;16;27;43;39;0;36;44;57;52;53;46;50;71;75;70;66;62;-1;No;No;No
13;8;15;9;2;1;26;21;25;20;22;31;39;0;36;42;47;56;57;48;60;61;62;70;66;63;-1;No;No;No
14;1;8;3;9;15;25;26;16;27;23;38;32;0;43;42;55;54;60;53;58;70;68;75;71;69;-1;No;No;No
15;11;6;13;8;10;26;30;28;25;22;41;33;0;45;36;49;52;53;57;47;66;74;64;75;71;-1;No;No;No
16;10;3;14;6;1;21;24;22;27;16;35;41;0;40;32;51;46;48;59;56;73;75;74;71;63;-1;No;No;No
17;11;10;3;1;4;18;30;20;19;17;33;45;0;43;32;53;52;47;46;59;62;66;67;72;73;-1;No;No;No
18;8;14;12;15;9;22;28;16;20;23;38;39;0;43;42;50;54;52;51;49;62;66;74;69;64;-1;No;No;No
19;3;2;11;7;6;23;20;27;22;17;38;34;0;42;31;51;60;57;52;54;63;70;62;75;66;-1;No;No;No
20;4;5;11;1;10;26;16;27;23;25;33;45;0;34;38;49;48;52;57;58;66;71;64;65;73;-1;No;No;No
21;5;2;12;14;3;28;30;24;27;29;31;36;0;42;39;59;56;46;57;50;65;74;61;75;64;-1;No;No;No
22;6;2;4;5;1;17;21;26;28;27;32;37;0;36;42;51;52;53;54;47;70;65;73;67;64;-1;No;No;No
23;3;1;8;12;11;17;18;28;22;29;43;45;0;42;40;51;48;55;56;50;67;64;61;70;66;-1;No;No;No
24;1;4;8;5;14;21;27;18;24;20;39;36;0;45;40;46;57;59;58;54;71;73;69;61;75;-1;No;No;No
25;11;1;12;6;8;16;27;28;24;21;37;36;0;43;31;56;46;48;58;49;62;70;63;75;72;-1;No;No;No
26;7;6;2;9;1;21;29;30;18;17;36;33;0;31;44;55;56;53;51;49;69;74;61;70;62;-1;No;No;No
27;15;4;3;7;9;17;27;30;22;19;42;34;0;37;39;57;50;46;47;60;71;70;75;66;65;-1;No;No;No
28;8;3;2;12;9;16;30;17;18;22;43;33;0;44;34;56;51;57;52;60;65;61;74;68;69;-1;No;No;No
29;15;1;4;3;11;22;19;18;30;16;35;36;0;38;40;48;60;58;55;47;64;68;72;71;67;-1;No;No;No
30;3;5;1;10;11;25;29;22;18;27;43;40;0;38;32;55;56;53;52;57;63;61;65;67;71;-1;No;No;No
31;1;7;8;2;10;20;29;24;19;22;36;37;0;45;39;50;51;57;58;59;75;66;67;68;64;-1;No;No;No
32;13;9;4;15;3;23;19;22;29;21;38;34;0;44;40;57;51;48;59;49;63;61;66;74;73;-1;No;No;No
33;4;5;3;14;11;30;26;18;24;28;40;42;0;38;33;52;60;49;57;54;67;72;63;65;69;-1;No;No;No
34;15;1;11;9;6;24;28;17;20;26;45;41;0;39;44;48;55;53;50;54;67;74;62;71;75;-1;No;No;No
35;2;1;10;7;4;17;24;16;18;20;39;44;0;45;38;51;48;56;60;52;71;70;75;72;63;-1;No;No;No
36;9;6;14;7;13;27;28;30;23;19;34;38;0;45;36;50;54;47;56;58;65;62;66;63;75;-1;No;No;No
37;3;1;15;4;11;21;16;25;27;17;44;33;0;32;39;46;50;54;52;47;75;61;62;73;70;-1;No;No;No
38;7;9;5;12;11;24;22;20;30;23;40;41;0;38;33;46;53;48;54;55;66;71;63;64;73;-1;No;No;No
39;8;2;12;3;11;25;26;22;27;17;42;45;0;37;38;58;59;49;47;52;69;65;75;70;74;-1;No;No;No
40;3;13;4;15;11;28;17;19;26;24;41;39;0;40;36;46;47;50;57;52;62;73;61;75;72;-1;No;No;No
41;4;5;14;2;15;27;18;17;28;23;44;34;0;32;38;56;60;51;59;53;75;66;74;63;71;-1;No;No;No
42;14;6;7;5;1;27;23;22;19;28;40;36;0;44;38;53;47;56;60;52;69;64;67;63;74;-1;No;No;No
43;12;13;14;10;1;17;26;24;20;16;40;31;0;39;43;48;51;55;56;46;61;62;66;64;63;-1;No;No;No
44;15;2;9;11;10;25;22;27;23;18;32;42;0;37;45;56;52;46;60;49;62;68;64;67;72;-1;No;No;No
45;9;12;2;5;6;30;21;29;23;27;38;41;0;39;35;56;57;46;58;47;62;70;64;72;61;-1;No;No;No
46;3;15;14;12;10;16;30;27;19;29;33;32;0;43;34;51;46;48;58;60;66;71;74;65;69;-1;No;No;No
47;14;12;5;1;13;30;24;29;21;19;35;40;0;33;32;53;49;55;54;56;67;65;61;70;62;-1;No;No;No
48;14;10;7;9;15;29;23;26;19;18;33;45;0;44;31;46;58;60;55;48;65;72;61;62;69;-1;No;No;No
49;6;5;14;7;10;22;25;26;19;23;42;45;0;44;43;58;52;47;53;48;67;71;70;68;61;-1;No;No;No
50;5;10;1;7;2;18;17;26;16;24;44;32;0;41;34;56;54;50;48;51;64;70;73;61;67;-1;No;No;No
51;10;5;4;14;11;20;18;29;22;28;34;35;0;39;31;58;56;46;48;60;67;68;75;69;62;-1;No;No;No
52;15;13;3;14;2;19;20;18;30;21;33;35;0;34;41;51;53;54;56;46;73;67;75;70;63;-1;No;No;No
53;8;1;4;12;13;17;20;16;28;23;42;43;0;44;39;50;48;58;52;49;72;62;63;71;64;-1;No;No;No
54;12;6;5;15;3;21;23;18;25;17;32;37;0;43;35;50;58;57;55;59;71;73;70;65;74;-1;No;No;No
55;2;9;15;11;12;20;24;16;28;29;43;38;0;40;36;55;50;60;59;46;75;74;69;63;73;-1;No;No;No
56;9;15;7;2;5;17;23;26;25;19;36;35;0;42;34;49;52;54;46;47;69;71;72;65;70;-1;No;No;No
57;13;5;11;14;1;28;23;22;16;18;38;42;0;35;34;51;57;54;58;56;69;70;73;66;62;-1;No;No;No
58;14;6;9;10;7;23;18;27;16;26;39;40;0;38;44;50;52;54;57;47;66;61;74;69;63;-1;No;No;No
59;6;13;4;9;11;26;25;19;16;24;35;36;0;39;34;57;47;56;46;55;69;63;65;62;64;-1;No;No;No
60;10;2;13;12;5;20;19;17;29;25;31;45;0;43;37;50;56;47;59;49;67;61;69;63;70;-1;No;No;No
61;9;2;5;15;7;27;24;23;29;25;42;36;0;43;44;52;47;48;54;55;63;61;75;72;69;-1;No;No;No
62;5;10;12;15;9;19;27;21;29;17;44;34;0;38;40;48;47;59;46;56;65;66;64;74;69;-1;No;No;No
63;11;10;8;12;1;16;21;17;27;19;37;31;0;34;38;52;48;46;51;57;69;70;64;68;75;-1;No;No;No
64;14;7;1;4;13;22;29;24;23;18;35;44;0;41;38;53;47;46;49;56;65;70;71;75;64;-1;No;No;No
