numero;b1;b2;b3;b4;b5;i1;i2;i3;i4;i5;n1;n2;n3;n4;n5;g1;g2;g3;g4;g5;o1;o2;o3;o4;o5;Activo;Nombre;Cedula;Telefono
1;4;12;10;9;2;18;20;21;28;16;41;38;0;36;37;49;52;58;48;59;64;74;67;62;73;-1;No;No;No
2;10;13;8;2;9;21;17;25;29;28;38;37;0;44;36;51;54;48;59;49;62;65;64;69;68;-1;No;No;No
3;3;9;14;4;8;26;27;28;17;21;32;42;0;34;40;49;59;47;51;60;72;67;70;75;63;-1;No;No;No
4;4;5;13;12;6;23;18;25;28;16;34;41;0;31;40;49;58;60;48;55;75;67;70;69;71;-1;No;No;No
5;11;14;8;15;7;29;16;23;17;26;33;38;0;34;39;50;52;48;46;47;68;67;61;63;73;-1;No;No;No
6;2;6;5;9;11;17;26;20;29;27;43;42;0;33;38;56;46;58;48;50;67;75;66;63;73;-1;No;No;No
7;13;1;2;14;11;16;20;28;23;26;31;35;0;37;41;57;48;51;55;54;62;73;72;75;71;-1;No;No;No
8;4;15;13;7;10;30;24;23;29;28;45;41;0;42;35;56;52;59;58;48;72;74;69;67;75;-1;No;No;No
9;2;9;4;3;11;28;19;22;17;24;39;41;0;31;33;60;54;51;48;55;61;73;69;68;62;-1;No;No;No
10;9;15;11;12;5;30;17;22;25;23;34;45;0;41;32;46;48;55;58;57;73;71;69;63;64;-1;No;No;No
11;8;5;12;4;9;18;22;16;19;26;42;38;0;33;39;56;54;47;57;48;67;64;73;72;68;-1;No;No;No
12;8;3;2;4;15;23;27;28;29;20;39;41;0;32;44;60;55;52;57;56;68;62;73;75;61;-1;No;No;No
13;2;14;11;13;6;16;19;20;22;25;43;38;0;35;39;50;46;59;60;58;67;71;66;63;73;-1;No;No;No
14;12;13;11;9;14;23;19;22;26;18;42;34;0;31;33;56;48;50;46;60;70;68;67;65;62;-1;No;No;No
15;11;9;10;5;15;28;25;27;21;30;36;42;0;39;32;50;46;54;57;47;73;64;74;63;68;-1;No;No;No
16;3;11;8;6;15;27;18;29;23;22;42;36;0;45;40;57;59;55;52;46;64;70;68;75;71;-1;No;No;No
17;11;9;3;6;15;29;16;21;23;26;39;32;0;38;31;52;56;46;50;55;61;72;69;67;71;-1;No;No;No
18;8;13;9;5;1;16;28;19;17;21;32;36;0;42;37;56;55;52;53;49;75;64;65;73;74;-1;No;No;No
19;15;1;10;4;13;23;26;27;25;16;39;32;0;36;45;57;50;48;59;54;63;72;70;71;75;-1;No;No;No
20;5;2;14;10;9;24;30;18;26;29;44;32;0;42;35;46;52;51;57;58;67;72;64;70;71;-1;No;No;No
21;1;14;8;7;4;26;16;19;18;30;41;37;0;38;42;49;53;59;56;60;64;71;65;62;68;-1;No;No;No
22;11;12;4;5;3;29;20;30;27;18;45;39;0;34;42;50;54;49;55;53;70;62;66;73;63;-1;No;No;No
23;8;10;6;4;3;27;18;26;29;25;41;42;0;38;35;51;50;57;60;54;61;68;63;72;64;-1;No;No;No
24;1;7;14;11;4;25;18;20;30;26;35;31;0;33;43;53;56;57;52;51;68;75;63;62;65;-1;No;No;No
25;4;9;5;10;11;22;17;16;20;26;42;32;0;31;43;60;57;50;51;59;63;66;73;71;68;-1;No;No;No
26;10;4;5;14;7;18;16;24;30;22;37;41;0;45;44;52;59;57;51;50;73;75;65;72;62;-1;No;No;No
27;6;4;10;2;3;16;26;23;30;20;38;37;0;35;33;48;54;47;56;49;67;71;65;66;69;-1;No;No;No
28;13;5;14;6;10;30;19;27;23;29;43;37;0;40;38;56;58;53;60;55;72;61;63;65;69;-1;No;No;No
29;4;2;14;3;12;29;16;23;18;25;45;33;0;38;34;55;46;47;56;51;74;65;69;64;62;-1;No;No;No
